var,country,country_name,code,region,city,airport,latitude,longitude
IataWUH,cn,China,wuh,Hubei,Wuhan (Huangpi),Wuhan Tianhe International Airport,30.7838,114.208
IataWUS,cn,China,wus,Fujian,Wuyishan,Wuyishan Airport,27.7019,118.001
IataWUT,cn,China,wut,Shaanxi,Xinzhou,Xinzhou Wutaishan Airport,38.5975,112.969
IataWUX,cn,China,wux,Jiangsu,Wuxi,Sunan Shuofang International Airport,31.4944,120.429
IataWUZ,cn,China,wuz,Guangxi,Tangbu,Wuzhou Xijiang Airport,23.4567,111.248
IataWXN,cn,China,wxn,Chongqing,Wanzhou,Wanzhou Wuqiao Airport,30.8017,108.433
IataWZQ,cn,China,wzq,Nei Mongol,Urad Middle Banner,Urad Middle Banner Airport,41.4596,108.535
IataXAI,cn,China,xai,Henan Sheng,Xinyang,Xinyang Minggang Airport,32.5414,114.078
IataXEN,cn,China,xen,Liaoning,Huludao (Xingcheng),Xingcheng Airport,40.5803,120.698
IataXFN,cn,China,xfn,Hubei,Xiangyang (Xiangzhou),Xiangyang Liuji Airport,32.1506,112.291
IataXIC,cn,China,xic,Sichuan,Liangshan (Xichang),Xichang Qingshan Airport,27.9891,102.184
IataXIL,cn,China,xil,Nei Mongol,Xilinhot,Xilinhot Airport,43.9156,115.964
IataXIN,cn,China,xin,Guangdong,Meizhou (Xingning),Xingning Air Base,24.1492,115.758
IataXIY,cn,China,xiy,Shaanxi,Xi'an,Xi'an Xianyang International Airport,34.4471,108.752
IataXMN,cn,China,xmn,Fujian,Xiamen,Xiamen Gaoqi International Airport,24.544,118.128
IataXNN,cn,China,xnn,Qinghai,Haidong (Huzhu Tu Autonomous County),Xining Caojiabao Airport,36.5275,102.043
IataXNT,cn,China,xnt,Hebei,Xingtai,Xingtai Dalian Airport,36.8831,114.429
IataXUZ,cn,China,xuz,Jiangsu,Xuzhou,Xuzhou Guanyin Airport,34.0591,117.555
IataYBP,cn,China,ybp,Sichuan,Yibin (Cuiping),Yibin Caiba Airport,28.8006,104.545
IataYCU,cn,China,ycu,Shanxi,Yuncheng (Yanhu),Yuncheng Guangong Airport,35.1164,111.031
IataYIC,cn,China,yic,Jiangxi,Yichun,Yichun Mingyueshan Airport,27.8025,114.306
IataYIE,cn,China,yie,Nei Mongol,Arxan,Arxan Yi'ershi Airport,47.3106,119.912
IataYIH,cn,China,yih,Hubei,Yichang (Xiaoting),Yichang Sanxia Airport,30.5565,111.48
IataYIN,cn,China,yin,Xinjiang,Ili (Yining,Yining Airport,43.9558,81.3303
IataYIW,cn,China,yiw,Zhejiang,Yiwu/Jinhua,Yiwu Airport,29.3447,120.032
IataYKH,cn,China,ykh,Liaoning,Yingkou (Laobian),Yingkou Lanqi Airport,40.5425,122.359
IataYLN,cn,China,yln,Heilongjiang,,Yilan Airport,46.317,129.567
IataYNJ,cn,China,ynj,Jilin,Yanji,Yanji Chaoyangchuan Airport,42.8828,129.451
IataYNT,cn,China,ynt,Shandong,Yantai,Yantai Penglai International Airport,37.6572,120.987
IataYNZ,cn,China,ynz,Jiangsu,Yancheng (Tinghu),Yancheng Nanyang International Airport,33.4258,120.203
IataYSQ,cn,China,ysq,Jilin,Qian Gorlos Mongol Autonomous County,Songyuan Chaganhu Airport,44.9381,124.55
IataYTY,cn,China,yty,Jiangsu,Yangzhou,Yangzhou Taizhou Airport,32.5602,119.717
IataYUA,cn,China,yua,Yunnan,Chuxiong (Yuanmou),Yuanmou Air Base,25.7375,101.882
IataYUS,cn,China,yus,Qinghai,Yushu (Batang),Yushu Batang Airport,32.8364,97.0364
IataYYA,cn,China,yya,Hunan Sheng,Yueyang (Yueyanglou),Yueyang Sanhe Airport,29.314,113.278
IataYZY,cn,China,yzy,Gansu,Zhangye (Ganzhou),Zhangye Ganzhou Airport,38.8019,100.675
IataZAT,cn,China,zat,Yunnan,Zhaotong,Zhaotong Airport,27.3256,103.755
IataZHA,cn,China,zha,Guangdong,Zhanjiang,Zhanjiang Airport,21.2144,110.358
IataZHY,cn,China,zhy,Ningxia,Zhongwei (Shapotou),Zhongwei Shapotou Airport (Zhongwei Xiangshan Airport),37.5731,105.154
IataZQZ,cn,China,zqz,Hebei,Zhangjiakou,Zhangjiakou Ningyuan Airport,40.7386,114.93
IataZUH,cn,China,zuh,Guangdong,Zhuhai (Jinwan),Zhuhai Jinwan Airport (Zhuhai Sanzao Airport),22.0064,113.376
IataZYI,cn,China,zyi,Guizhou,Zunyi,Zunyi Xinzhou Airport,27.5895,107.001
IataACD,co,Colombia,acd,Choco,Acandí,Alcides Fernandez Airport,8.51667,-77.3
IataACL,co,Colombia,acl,Valle del Cauca,,Aguaclara Airport,4.75361,-73.0028
IataACM,co,Colombia,acm,Amazonas,Arica,Arica Airport (Colombia),-2.14544,-71.7581
IataACR,co,Colombia,acr,Caqueta,Solano,Araracuara Airport,-0.5833,-72.4083
IataADN,co,Colombia,adn,Antioquia,,Andes Airport,5.69764,-75.8804
IataADZ,co,Colombia,adz,"San Andres, Providencia y Santa Catalina",San Andrés,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112
IataAFI,co,Colombia,afi,Antioquia,Amalfi,Amalfi Airport (Colombia),6.91667,-75.0667
IataAPI,co,Colombia,api,Meta,Apiay,Captain Luis F. Gomez Nino Air Base,4.07607,-73.5627
IataAPO,co,Colombia,apo,Antioquia,Apartadó,Antonio Roldan  Betancourt Airport,7.81196,-76.7164
IataARF,co,Colombia,arf,Vaupes,Acaricuara,Acaricuara Airport,0.533333,-70.1333
IataARO,co,Colombia,aro,Antioquia,Arboletes,Arboletes Airport,8.85705,-76.4244
IataARQ,co,Colombia,arq,Arauca,Arauquita,El Troncal Airport,7.02106,-71.3889
IataAUC,co,Colombia,auc,Arauca,Arauca,Santiago Perez  Quiroz Airport,7.06888,-70.7369
IataAXM,co,Colombia,axm,Quindio,Armenia,El Eden International Airport,4.45278,-75.7664
IataAYA,co,Colombia,aya,Cordoba,Ayapel,Ayapel Airport,8.3,-75.15
IataAYC,co,Colombia,ayc,Amazonas,Ayacucho,Ayacucho Airport,8.6,-73.6167
IataAYG,co,Colombia,ayg,Caqueta,San Vicente Del Caguán,Yaguara Airport,1.54417,-73.9333
IataAYI,co,Colombia,ayi,Guaviare,Yari,Yari Airport,-0.383333,-72.2667
IataAZT,co,Colombia,azt,Santander,Zapatoca,Zapatoca Airport,6.81667,-73.2833
IataBAC,co,Colombia,bac,Meta,Barranca De Upia,Barranca de Upia Airport,4.58333,-72.9667
IataBAQ,co,Colombia,baq,Atlantico,Barranquilla,Ernesto Cortissoz International Airport,10.8896,-74.7808
IataBGA,co,Colombia,bga,Santander,Bucaramanga,Palonegro International Airport,7.1265,-73.1848
IataBHF,co,Colombia,bhf,Choco,Bahía Solano,Bahia Cupica Airport,6.55,-77.3263
IataBOG,co,Colombia,bog,Distrito Capital de Bogota,Bogotá,El Dorado International Airport,4.70159,-74.1469
IataBSC,co,Colombia,bsc,Choco,Bahía Solano,Jose Celestino Mutis Airport,6.20292,-77.3947
IataBUN,co,Colombia,bun,Valle del Cauca,Buenaventura,Gerardo Tobar Lopez Airport,3.81963,-76.9898
IataCAQ,co,Colombia,caq,Antioquia,Caucasia,Juan H. White Airport,7.96847,-75.1985
IataCCO,co,Colombia,cco,Meta,Puerto López,Carimagua Airport,4.56417,-71.3364
IataCIM,co,Colombia,cim,Santander,Cimitarra,Cimitarra Airport,6.367,-73.967
IataCJD,co,Colombia,cjd,Huila,Candilejas,Candilejas Airport,2.06667,-74.5833
IataCLO,co,Colombia,clo,Valle del Cauca,Cali,Alfonso Bonilla Aragon International Airport,3.54322,-76.3816
IataCOG,co,Colombia,cog,Choco,Condoto,Mandinga Airport,5.08333,-76.7
IataCPB,co,Colombia,cpb,Choco,Capurganá,Capurgana Airport,8.63333,-77.35
IataCPL,co,Colombia,cpl,Tolima,Chaparral,General Navas Pardo Airport,3.717,-75.467
IataCQT,co,Colombia,cqt,Caqueta,Caquetania,Caquetania Airport,2.03333,-74.2167
IataCRC,co,Colombia,crc,Valle del Cauca,Cartago Municipality,Santa Ana Airport,4.75818,-75.9557
IataCSR,co,Colombia,csr,Vichada,Casuarito,Casuarito Airport,5.83333,-68.1333
IataCTG,co,Colombia,ctg,Bolivar,Cartagena,Rafael Nunez International Airport,10.4424,-75.513
IataCUC,co,Colombia,cuc,Norte de Santander,Cúcuta,Camilo Daza International Airport,7.92757,-72.5115
IataCUI,co,Colombia,cui,Caqueta,Currillo,Curillo Airport,4.66667,-72
IataCUO,co,Colombia,cuo,Vaupes,Carurú,Caruru Airport,1.0136,-71.2961
IataCVE,co,Colombia,cve,Sucre,Coveñas,Covenas Airport,9.40092,-75.6913
IataCZU,co,Colombia,czu,Sucre,Corozal,Las Brujas Airport,9.33274,-75.2856
IataDZI,co,Colombia,dzi,Cesar,Codazzi,Codazzi Airport,10.0966,-73.2337
IataEBG,co,Colombia,ebg,Antioquia,El Bagre,El Bagre Airport (El Tomin Airport),7.59647,-74.8089
IataECO,co,Colombia,eco,Amazonas,El Encanto,El Encanto Airport,-1.75333,-73.2047
IataECR,co,Colombia,ecr,Narino,El Charco,El Charco Airport,2.44944,-78.0942
IataEJA,co,Colombia,eja,Santander,Barrancabermeja,Yariguies Airport,7.02433,-73.8068
IataELB,co,Colombia,elb,Magdalena,El Banco,Las Flores Airport,9.04554,-73.9749
IataELJ,co,Colombia,elj,Meta,Ruperto Polania,El Recreo Airport,2,-74.1333
IataEOH,co,Colombia,eoh,Antioquia,Medellín,Olaya Herrera Airport,6.22055,-75.5906
IataEUO,co,Colombia,euo,Cundinamarca,Paratebueno,Paratebueno Airport,4.38333,-73.2
IataEYP,co,Colombia,eyp,Casanare,Yopal,El Alcaravan Airport,5.31911,-72.384
IataFLA,co,Colombia,fla,Caqueta,Florencia,Gustavo Artunduaga Paredes Airport,1.58919,-75.5644
IataGAA,co,Colombia,gaa,Meta,Guamal,Guamal Airport,9.04465,-73.0973
IataGCA,co,Colombia,gca,Boyaca,Guacamayas,Guacamayas Airport,2.28333,-74.95
IataGGL,co,Colombia,ggl,Choco,,Gilgal Airport,8.33333,-77.0833
IataGIR,co,Colombia,gir,Tolima,Girardot,Santiago Vila Airport,4.27624,-74.7967
IataGLJ,co,Colombia,glj,Huila,Garzón,,2.2257,-75.6694
IataGMC,co,Colombia,gmc,Meta,Puerto Carreño,Guerima Airport,3.62918,-70.3233
IataGPI,co,Colombia,gpi,Cauca,Guapi,Guapi Airport (Juan Casiano Airport),2.57013,-77.8986
IataGRA,co,Colombia,gra,Cesar,Puerto Mosquito,Gamarra Airport,8.34197,-73.7057
IataHAY,co,Colombia,hay,Cesar,Aguachica,Hacaritama Airport,8.24722,-73.5819
IataHRR,co,Colombia,hrr,Cundinamarca,Campiña,La Herrera Airport,3.21667,-75.85
IataHTZ,co,Colombia,htz,Casanare,Hato Corozal,Hato Corozal Airport,6.15,-71.75
IataIBE,co,Colombia,ibe,Tolima,Ibagué,Perales Airport,4.42161,-75.1333
IataIGO,co,Colombia,igo,Antioquia,Chigorodó,Jaime Ortiz Betancur Airport,7.68038,-76.6865
IataIPI,co,Colombia,ipi,Narino,Ipiales,San Luis Airport,0.861925,-77.6718
IataISD,co,Colombia,isd,Narino,Iscuandé,Iscuande Airport,2.44583,-77.9818
IataIVO,co,Colombia,ivo,Magdalena,Chivolo,Chibolo Airport,10.0167,-74.6833
IataJUO,co,Colombia,juo,Choco,Juradó,Jurado Airport,6.51667,-76.6
IataLCR,co,Colombia,lcr,Amazonas,La Chorrera,La Chorrera Airport,-0.733333,-73.0167
IataLET,co,Colombia,let,Amazonas,Leticia,Alfredo Vasquez Cobo International Airport,-4.19355,-69.9432
IataLGT,co,Colombia,lgt,Vichada,Gaviotas,Las Gaviotas Airport,4.54972,-70.925
IataLMC,co,Colombia,lmc,Meta,La Macarena,La Macarena Airport,2.1736,-73.7862
IataLMX,co,Colombia,lmx,Cauca,Micay,Lopez de Micay Airport,3.05,-77.55
IataLPD,co,Colombia,lpd,Amazonas,La Pedrera,La Pedrera Airport,-1.32861,-69.5797
IataLPE,co,Colombia,lpe,Vichada,La Primavera,La Primavera Airport,3.73333,-76.2167
IataLQM,co,Colombia,lqm,Putumayo,Puerto Leguízamo,Caucaya Airport,-0.182278,-74.7708
IataLRI,co,Colombia,lri,Cordoba,Santa Cruz de Lorica,Lorica Airport,9.03333,-75.7
IataMCJ,co,Colombia,mcj,La Guajira,Maicao,Jorge Isaacs Airport (La Mina Airport),11.2325,-72.4901
IataMDE,co,Colombia,mde,Antioquia,Medellín,Jose Maria Cordova International Airport,6.16454,-75.4231
IataMFB,co,Colombia,mfb,Vaupes,Monfort,Monfort Airport,0.633333,-69.75
IataMFS,co,Colombia,mfs,Guaviare,Miraflores,Miraflores Airport,1.35,-71.9444
IataMGN,co,Colombia,mgn,Bolivar,Magangué,Baracoa Regional Airport,9.28474,-74.8461
IataMHF,co,Colombia,mhf,Guainia,Morichal,Morichal Airport,1.75,-69.9167
IataMIX,co,Colombia,mix,Vaupes,Mirití-Paraná,Miriti-Parana Airport,-1.13333,-70.25
IataMMP,co,Colombia,mmp,Bolivar,Santa Cruz de Mompóx,San Bernardo Airport,9.79911,-74.786
IataMND,co,Colombia,mnd,Cundinamarca,Medina,Medina Airport,4.51667,-73.2833
IataMOY,co,Colombia,moy,Boyaca,Monterrey,Monterrey Airport,4.90693,-72.8948
IataMQR,co,Colombia,mqr,Narino,Mosquera,Mosquera Airport,2.64955,-78.3361
IataMQU,co,Colombia,mqu,Tolima,Mariquita,Mariquita Airport,5.21256,-74.8836
IataMSK,co,Colombia,msk,Meta,Puerto Gaitán,,3.9323,-71.6679
IataMTB,co,Colombia,mtb,Cordoba,Montelíbano,Montelibano Airport,7.97174,-75.4325
IataMTR,co,Colombia,mtr,Cordoba,Montería,Los Garzones Airport,8.82374,-75.8258
IataMVP,co,Colombia,mvp,Vaupes,Mitú,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339
IataMZL,co,Colombia,mzl,Caldas,Manizales,La Nubia Airport (Santaguida Airport),5.0296,-75.4647
IataNAD,co,Colombia,nad,Guainia,Macanal,Macanal Airport,2.56667,-67.5833
IataNAR,co,Colombia,nar,Antioquia,Puerto Nare,Puerto Nare Airport,6.21002,-74.5906
IataNBB,co,Colombia,nbb,Guainia,Barrancominas,Barranco Minas Airport,3.48333,-69.8
IataNCI,co,Colombia,nci,Antioquia,Necoclí,Antioquia Airport,8.45,-76.7833
IataNPU,co,Colombia,npu,Antioquia,San Pedro de Urabá,San Pedro de Uraba Airport,8.28597,-76.3804
IataNQU,co,Colombia,nqu,Choco,Nuquí,Reyes Murillo Airport,5.6964,-77.2806
IataNUH,co,Colombia,nuh,Casanare,Nunchia,Nunchia Airport,5.65,-72.2
IataNVA,co,Colombia,nva,Huila,Neiva,Benito Salas Airport,2.95015,-75.294
IataOCV,co,Colombia,ocv,Norte de Santander,Ocaña,Aguas Claras Airport,8.31506,-73.3583
IataORC,co,Colombia,orc,Casanare,Orocué,Orocue Airport,4.79222,-71.3564
IataOTU,co,Colombia,otu,Antioquia,Remedios,Otu Airport,7.01037,-74.7155
IataPAL,co,Colombia,pal,Cundinamarca,La Dorada,Captain German Olano Moreno Air Base,5.48361,-74.6574
IataPBE,co,Colombia,pbe,Antioquia,Puerto Berrío,Morela Airport (Puerto Berrio Airport,6.46034,-74.4105
IataPCC,co,Colombia,pcc,Huila,Puerto Rico,Puerto Rico Airport,1.91667,-75.1667
IataPCR,co,Colombia,pcr,Vichada,Puerto Carreño,German Olano Airport,6.18472,-67.4932
IataPDA,co,Colombia,pda,Guainia,Inírida,Obando Airport,3.85353,-67.9062
IataPEI,co,Colombia,pei,Risaralda,Pereira,Matecana International Airport,4.81267,-75.7395
IataPLA,co,Colombia,pla,Tolima,Planadas,Planadas Airport,3.3,-75.7
IataPLC,co,Colombia,plc,Cordoba,,Planeta Rica Airport,8.4,-75.6
IataPLT,co,Colombia,plt,Magdalena,Plato,Plato Airport,9.8,-74.7833
IataPPN,co,Colombia,ppn,Cauca,Popayán,Guillermo Leon Valencia Airport,2.4544,-76.6093
IataPRE,co,Colombia,pre,Casanare,Pore,Pore Airport,5.73333,-71.9833
IataPSO,co,Colombia,pso,Narino,Pasto,Antonio Narino Airport,1.39625,-77.2915
IataPTX,co,Colombia,ptx,Huila,Pitalito,Contador Airport,1.85777,-76.0857
IataPUU,co,Colombia,puu,Putumayo,Puerto Asís,Tres de Mayo Airport,0.505228,-76.5008
IataPVA,co,Colombia,pva,"San Andres, Providencia y Santa Catalina",Providencia,El Embrujo Airport,13.3569,-81.3583
IataPYA,co,Colombia,pya,Boyaca,Puerto Boyacá,Velasquez Airport,5.93904,-74.457
IataPYN,co,Colombia,pyn,Narino,Payán,Payan Airport,1.8,-78.1667
IataPZA,co,Colombia,pza,Casanare,Paz de Ariporo,Paz de Ariporo Airport,5.87615,-71.8866
IataRAV,co,Colombia,rav,Arauca,Cravo Norte,Cravo Norte Airport,6.31684,-70.2107
IataRCH,co,Colombia,rch,La Guajira,Riohacha,Almirante Padilla Airport,11.5262,-72.926
IataRON,co,Colombia,ron,Boyaca,Duitama,Juan Jose Rondon,6.283,-71.083
IataRVE,co,Colombia,rve,Arauca,Saravena,Los Colonizadores Airport,6.95187,-71.8572
IataSCA,co,Colombia,sca,Cordoba,Santa Catalina,Santa Catalina Airport,8.5,-76.175
IataSJE,co,Colombia,sje,Guaviare,San José del Guaviare,Jorge Enrique Gonzalez Torres Airport,2.57969,-72.6394
IataSJG,co,Colombia,sjg,Boyaca,,San Pedro de Jagua Airport,4.65,-73.3333
IataSJH,co,Colombia,sjh,La Guajira,San Juan Del César,San Juan del Cesar Airport,10.7667,-73.0167
IataSJR,co,Colombia,sjr,Antioquia,San Juan De Uraba,San Juan de Uraba Airport,8.76667,-76.5333
IataSMC,co,Colombia,smc,Antioquia,Sremska Mitrovica,Santa Maria Airport,8.15,-77.05
IataSMR,co,Colombia,smr,Magdalena,Santa Marta,Simon Bolivar International Airport,11.1196,-74.2306
IataSNT,co,Colombia,snt,Santander,Sabana de Torres,Las Cruces Airport,7.38322,-73.5054
IataSOX,co,Colombia,sox,Boyaca,Sogamoso,Alberto Lleras Camargo Airport,5.67732,-72.9703
IataSQE,co,Colombia,sqe,Casanare,San Luis De Palenque,San Luis de Palenque Airport,5.4138,-71.7286
IataSRO,co,Colombia,sro,Huila,Santana Ramos,Santana Ramos Airport,2.21667,-75.25
IataSRS,co,Colombia,srs,Sucre,San Marcos,San Marcos Airport,8.69,-75.156
IataSSD,co,Colombia,ssd,Amazonas,San Felipe,San Felipe Airport,-32.7458,-70.705
IataSSL,co,Colombia,ssl,Vichada,Santa Rosalía,Santa Rosalia Airport,5.1309,-70.8682
IataSVI,co,Colombia,svi,Caqueta,San Vicente del Caguán,Eduardo Falla Solano Airport,2.15217,-74.7663
IataTAU,co,Colombia,tau,Boyaca,Tauramena,Tauramena Airport,5.01281,-72.7424
IataTBD,co,Colombia,tbd,Cauca,Timbiqui,Timbiqui Airport,2.767,-77.667
IataTCD,co,Colombia,tcd,Amazonas,Tarapacá,Tarapaca Airport,-2.89472,-69.7472
IataTCO,co,Colombia,tco,Narino,Tumaco,La Florida Airport,1.81442,-78.7492
IataTDA,co,Colombia,tda,Casanare,Trinidad,Trinidad Airport,5.43278,-71.6625
IataTIB,co,Colombia,tib,Norte de Santander,Tibú,Tibu Airport,8.63152,-72.7304
IataTLU,co,Colombia,tlu,Sucre,Tolú,Golfo de Morrosquillo Airport,9.50945,-75.5854
IataTME,co,Colombia,tme,Arauca,Tame,Gabriel Vargas Santos Airport,6.45108,-71.7603
IataTQS,co,Colombia,tqs,Caqueta,Tres Esquinas,Captain Ernesto Esguerra Cubides Air Base,0.7459,-75.234
IataTRB,co,Colombia,trb,Antioquia,Turbo,Gonzalo Mejia Airport,8.07453,-76.7415
IataTTM,co,Colombia,ttm,Casanare,Tablón De Tamara,Tablon de Tamara Airport,5.72448,-72.103
IataUIB,co,Colombia,uib,Choco,Quibdó,El Carano Airport,5.69076,-76.6412
IataULQ,co,Colombia,ulq,Valle del Cauca,Tuluá,Heriberto Gil Martinez,4.08836,-76.2351
IataULS,co,Colombia,uls,Antioquia,Mulatos,Mulatos Airport,8.65,-76.75
IataUNC,co,Colombia,unc,Antioquia,Unguía,Unguia Airport,8.03333,-77.0833
IataURI,co,Colombia,uri,Meta,La Uribe,Uribe Airport,3.21667,-74.4
IataURR,co,Colombia,urr,Antioquia,Urrao,Urrao Airport,6.32883,-76.1425
IataVAB,co,Colombia,vab,Vaupes,Yavarate,Yavarate Airport,1.11667,-70.75
IataVGZ,co,Colombia,vgz,Putumayo,Villa Garzón,Villa Garzon Airport,0.978767,-76.6056
IataVUP,co,Colombia,vup,Cesar,Valledupar,Alfonso Lopez Pumarejo Airport,10.435,-73.2495
IataVVC,co,Colombia,vvc,Meta,Villavicencio,La Vanguardia Airport,4.16787,-73.6138
IataBAI,cr,Costa Rica,bai,Puntarenas,Punta Arenas,Buenos Aires Airport,9.16395,-83.3302
IataBCL,cr,Costa Rica,bcl,Limon,Barra del Colorado Wildlife Refuge,Barra del Colorado Airport,10.7687,-83.5856
IataCSC,cr,Costa Rica,csc,Guanacaste,Cañas,Canas Mojica Airport,10.4307,-85.1746
IataDRK,cr,Costa Rica,drk,Puntarenas,Bahía Drake,Drake Bay Airport,8.71889,-83.6417
IataFON,cr,Costa Rica,fon,Alajuela,La Fortuna,La Fortuna Airport,10.478,-84.6345
IataGLF,cr,Costa Rica,glf,Puntarenas,Golfito,Golfito Airport,8.65401,-83.1822
IataGPL,cr,Costa Rica,gpl,Limon,Guápiles,Guapiles Airport,10.2172,-83.797
IataIPZ,cr,Costa Rica,ipz,San Jose,San Isidro de El General,San Isidro de El General Airport,9.34861,-83.7125
IataJAP,cr,Costa Rica,jap,Puntarenas,Puntarenas,Chacarita Airport,9.98141,-84.7727
IataLIO,cr,Costa Rica,lio,Limon,Limón,Limon International Airport,9.95796,-83.022
IataLIR,cr,Costa Rica,lir,Guanacaste,Liberia,Daniel Oduber Quiros International Airport,10.5933,-85.5444
IataLSL,cr,Costa Rica,lsl,Alajuela,Los Chiles,Los Chiles Airport,11.0353,-84.7061
IataNCT,cr,Costa Rica,nct,Guanacaste,Nicoya,Nicoya Guanacaste Airport,10.1394,-85.4458
IataNOB,cr,Costa Rica,nob,Guanacaste,Nosara,Nosara Airport,9.97649,-85.653
IataOTR,cr,Costa Rica,otr,Puntarenas,Corredores,Coto 47 Airport,8.60156,-82.9686
IataPBP,cr,Costa Rica,pbp,Guanacaste,Nandayure,Punta Islita Airport,9.85611,-85.3708
IataPJM,cr,Costa Rica,pjm,Puntarenas,Puerto Jiménez,Puerto Jimenez Airport,8.53333,-83.3
IataPLD,cr,Costa Rica,pld,Guanacaste,Puerto Carrillo,Carrillo Airport (Playa Samara/Carrillo Airport),9.87051,-85.4814
IataPMZ,cr,Costa Rica,pmz,Puntarenas,Palmar,Palmar Sur Airport,8.95103,-83.4686
IataRFR,cr,Costa Rica,rfr,Alajuela,Rio Frio,Rio Frio Airport,10.3274,-83.8876
IataSJO,cr,Costa Rica,sjo,Alajuela,San José,Juan Santamaria International Airport,9.99386,-84.2088
IataSYQ,cr,Costa Rica,syq,San Jose,San José,Tobias Bolanos International Airport,9.95705,-84.1398
IataTMU,cr,Costa Rica,tmu,Puntarenas,Nicoya,Tambor Airport,9.73852,-85.0138
IataTNO,cr,Costa Rica,tno,Guanacaste,Tamarindo,Tamarindo Airport,10.3135,-85.8155
IataTOO,cr,Costa Rica,too,Puntarenas,Coto Brus,San Vito de Java Airport,8.82611,-82.9589
IataTTQ,cr,Costa Rica,ttq,Limon,Tortuguero,Tortuguero Airport (Barra de Tortuguero Airport),10.42,-83.6095
IataUPL,cr,Costa Rica,upl,Alajuela,Upala,Upala Airport,10.8922,-85.0162
IataXQP,cr,Costa Rica,xqp,Puntarenas,Quepos,Quepos La Managua Airport,9.44316,-84.1298
IataAVI,cu,Cuba,avi,Ciego de Avila,Ciego de Ávila,Maximo Gomez  Airport,22.0271,-78.7896
IataBCA,cu,Cuba,bca,Guantanamo,Baracoa,Gustavo Rizo Airport,20.3653,-74.5062
IataBWW,cu,Cuba,bww,Villa Clara,Cayo Santa Maria,Las Brujas Airport,22.6213,-79.1472
IataBYM,cu,Cuba,bym,Granma,Bayamo,Carlos Manuel de Cespedes Airport,20.3964,-76.6214
IataCCC,cu,Cuba,ccc,Ciego de Avila,Cayo Coco,Jardines del Rey Airport,22.461,-78.3284
IataCFG,cu,Cuba,cfg,Cienfuegos,Cienfuegos,Jaime Gonzalez Airport,22.15,-80.4142
IataCMW,cu,Cuba,cmw,Camaguey,Camagüey,Ignacio Agramonte International Airport,21.4203,-77.8475
IataCYO,cu,Cuba,cyo,Isla de la Juventud,Cayo Largo del Sur,Vilo Acuna Airport,21.6165,-81.546
IataGAO,cu,Cuba,gao,Guantanamo,Guantánamo,Mariana Grajales Airport,20.0853,-75.1583
IataGER,cu,Cuba,ger,Isla de la Juventud,Nueva Gerona,Rafael Cabrera Mustelier Airport,21.8347,-82.7838
IataHAV,cu,Cuba,hav,La Habana,Havana,Jose Marti International Airport,22.9892,-82.4091
IataHOG,cu,Cuba,hog,Holguin,Holguin,Frank Pais Airport,20.7856,-76.3151
IataLCL,cu,Cuba,lcl,Pinar del Rio,Pinar del Río,La Coloma Airport,22.3361,-83.6419
IataMOA,cu,Cuba,moa,Holguin,Moa,Orestes Acosta Airport,20.6539,-74.9222
IataMZO,cu,Cuba,mzo,Granma,Manzanillo,Sierra Maestra Airport,20.2881,-77.0892
IataNBW,cu,Cuba,nbw,Guantanamo,Guantanamo Bay Naval Station,Guantanamo Bay Naval Base,19.9065,-75.2071
IataPST,cu,Cuba,pst,Holguín,Guatemala,,20.7333,-75.6593
IataQPD,cu,Cuba,qpd,Pinar del Rio,Pinar del Río,,22.4211,-83.6784
IataQSN,cu,Cuba,qsn,Mayabeque,San Nicolás de Bari,,22.7565,-81.9207
IataSCU,cu,Cuba,scu,Santiago de Cuba,Santiago de Cuba,Antonio Maceo International Airport,19.9698,-75.8354
IataSNJ,cu,Cuba,snj,Pinar del Rio,Sandino,San Julian Air Base,22.0953,-84.152
IataSNU,cu,Cuba,snu,Villa Clara,Santa Clara,Abel Santamaria Airport,22.4922,-79.9436
IataSZJ,cu,Cuba,szj,Isla de la Juventud,Isla de la Juventud,Siguanea Airport,21.6425,-82.9551
IataTND,cu,Cuba,tnd,Sancti Spiritus,Trinidad,Alberto Delgado Airport,21.7883,-79.9972
IataUMA,cu,Cuba,uma,Guantanamo,Maisí,Punta de Maisi Airport,20.2506,-74.1505
IataUPB,cu,Cuba,upb,Artemisa,Havana,Playa Baracoa Airport,23.0328,-82.5794
IataUSS,cu,Cuba,uss,Sancti Spiritus,Sancti Spiritus,Sancti Spiritus Airport,21.9704,-79.4427
IataVRA,cu,Cuba,vra,Matanzas,Matanzas,Juan Gualberto Gomez Airport,23.0344,-81.4353
IataVRO,cu,Cuba,vro,Matanzas,Santa Marta,Kawama Airport,23.124,-81.3016
IataVTU,cu,Cuba,vtu,Las Tunas,Las Tunas,Hermanos Ameijeiras Airport,20.9876,-76.9358
IataBVC,cv,Cape Verde,bvc,Boa Vista,Sal Rei,Aristides Pereira International Airport (Rabil Airport),16.1365,-22.8889
IataBVR,cv,Cape Verde,bvr,Brava,,Esperadinha Airport,14.8643,-24.746
IataMMO,cv,Cape Verde,mmo,Maio,Porto Inglês,Maio Airport,15.1559,-23.2137
IataMTI,cv,Cape Verde,mti,Sao Filipe,Mosteiros,Mosteiros Airport,15.045,-24.3392
